,Unnamed: 0,행정동,경도,위도,subway_최소거리(m),500m지하철역개수,bus_최소거리(m),500m버스정류장개수,badplace_최소거리(m),500m술집개수,parking_최소거리(m),500내주차장개수,300m보호구역여부,200m위험구역여부
1463,1463,광장동,127.100051259864,37.5457365964745,392.786837330338,1,230.746425977484,7,180.126658146731,9,181.298003239304,1,1,0
1464,1464,광장동,127.10004644429,37.5466379340617,402.35543468062497,1,244.681552640247,5,234.910662579897,8,176.560595000204,1,1,0
1465,1465,광장동,127.100041628502,37.5475392715104,420.50660603109105,1,271.325109360916,5,281.57112902538,8,191.847594880861,1,1,0
1466,1466,광장동,127.100036812499,37.5484406088207,446.194154519075,1,288.12363324978,4,332.729214449703,6,223.079645188674,1,1,0
1467,1467,광장동,127.100031996281,37.5493419459925,478.205127024718,0,315.817117823953,3,385.779818177824,3,264.670971725658,0,1,0
1468,1468,광장동,127.100027179849,37.5502432830258,515.362551927161,0,351.842266998874,1,422.237577690142,0,312.512526866485,0,1,0
1469,1469,광장동,127.100022363203,37.5511446199207,556.636746029075,0,393.91980034173696,0,453.812487601502,1,332.219357368397,0,1,0
1470,1470,광장동,127.100017546342,37.5520459566771,601.180388134149,0,440.317988428755,0,426.361020355174,1,310.020751052578,1,1,0
1471,1471,광장동,127.100012729266,37.552947293295,648.319928991337,0,489.81051499688,0,406.13783127319505,1,298.634304456248,1,1,0
1472,1472,구의2동,127.100007911976,37.5538486297745,697.529264643672,0,541.549658257604,0,394.256798423039,2,299.296576684069,1,1,0
1473,1473,구의2동,127.100003094471,37.5547499661155,748.400218772351,0,594.949578086543,0,391.478184916459,2,311.930824682361,1,1,0
1474,1474,구의2동,127.099998276751,37.555651302318,800.616113911477,0,602.872705765317,0,397.99267673743697,1,335.185974902961,0,1,0
1475,1475,구의2동,127.099993458817,37.5565526383821,853.930262067223,0,568.722917253183,0,413.361127557189,1,367.048811776922,0,0,0
1476,1476,구의2동,127.099988640668,37.5574539743077,908.149257324012,0,539.22363421714,0,436.649649757613,1,405.495266317072,0,0,0
1477,1477,구의2동,127.099983822305,37.5583553100948,963.120293327936,0,508.83290788288,2,466.67402924167106,0,448.83669008334897,0,0,0
1478,1478,중곡4동,127.099979003727,37.5592566457434,1018.72163236881,0,480.52119792964,3,502.227652399298,0,473.916799894276,0,0,0
1479,1479,중곡4동,127.099974184934,37.5601579812536,1074.85546113957,0,458.49371576838,3,542.223945143781,0,451.938393909006,0,0,0
1480,1480,중곡4동,127.099969365927,37.5610593166253,1131.44252524258,0,443.687412059081,3,585.753548330355,0,437.293569977578,0,0,0
1481,1481,중곡4동,127.099964546705,37.5619606518585,1188.41808101046,0,436.837169406182,3,632.086898433741,0,430.00345371794896,0,0,0
1482,1482,중곡4동,127.099959727268,37.5628619869532,1245.72882226978,0,438.31616502032495,2,680.651661505543,0,430.896992995243,0,0,0
1483,1483,중곡4동,127.099954907616,37.5637633219094,1303.3305307007,0,448.041915127567,2,731.003231905696,0,440.19044444987503,0,0,0
1484,1484,중곡4동,127.09995008775,37.5646646567272,1361.18626587229,0,465.49779634556,1,782.796885314747,0,457.372048660604,0,0,0
1485,1485,중곡4동,127.099945267669,37.5655659914065,1419.26496022225,0,489.858119101014,0,835.764556781509,0,481.59828006571297,0,0,0
1486,1486,중곡4동,127.099940447373,37.5664673259473,1477.54032001127,0,520.153715074138,0,889.696583927541,0,511.869865335101,0,0,0
1487,1487,중곡4동,127.099935626863,37.5673686603496,1535.98995910765,0,555.414191416695,0,944.427768096672,0,547.18438590617,0,0,0
1488,1488,중곡4동,127.099930806137,37.5682699946134,1587.67769341542,0,594.757161590554,0,999.826875874117,0,586.631807043844,0,0,0
1489,1489,중곡4동,127.099925985197,37.5691713287387,1630.30477873404,0,637.427135655357,0,1055.78876836849,0,629.435562914898,0,0,0
1490,1490,중곡4동,127.099921164043,37.5700726627256,1674.03460728082,0,682.80065487687,0,1112.22849652427,0,674.957405257934,0,0,0
1491,1491,중곡4동,127.099916342673,37.570973996573905,1718.78301040397,0,730.374026515513,0,1169.07685426516,0,722.683875868899,0,0,0
1492,1492,중곡4동,127.099911521089,37.5718753302838,1764.47249263325,0,779.744702097886,0,1226.27701020534,0,772.206305790359,0,0,0
1493,1493,중곡4동,127.099906699289,37.5727766638552,1795.08619744554,0,830.592242963073,0,1283.7819388303,0,823.200629217192,0,0,0
1494,1494,구의3동,127.10125527541,37.5322203429696,756.874716312853,0,583.454690771145,0,533.417625644726,0,954.356474201744,0,0,0
1495,1495,구의3동,127.101250476673,37.5331216827574,743.22049278896,0,523.836878975417,0,495.664534581876,0,893.915908126488,0,0,0
1496,1496,구의3동,127.101245677722,37.5340230224067,734.316190926398,0,464.454501732294,0,462.773184895086,2,833.488134355845,0,0,0
1497,1497,구의3동,127.101240878557,37.5349243619176,730.335561604648,0,405.411020652196,1,435.845645925653,2,773.076148932462,0,0,0
1498,1498,구의3동,127.101236079179,37.5358257012901,687.41709748477,0,346.879524474536,2,416.041517574084,2,712.683962831248,0,0,0
1499,1499,광장동,127.101231279587,37.5367270405241,632.013455715928,0,289.171065192564,3,392.280651702874,3,652.317070806199,0,0,0
1500,1500,광장동,127.101226479781,37.5376283796197,577.639603327591,0,232.898242310726,3,354.379915524308,4,591.983206081706,0,1,0
1501,1501,광장동,127.101221679761,37.5385297185768,524.615830456102,0,179.416994015785,4,323.439351783767,4,531.693606689069,0,1,0
1502,1502,광장동,127.101216879527,37.5394310573955,473.396004593059,0,132.16088159781,3,301.608642517644,6,471.465248418496,0,1,0
1503,1503,광장동,127.10121207908,37.5403323960757,424.633404718305,0,100.347935621325,4,258.454961957861,7,411.325026914171,0,1,0
1504,1504,광장동,127.101207278418,37.5412337346175,379.276966798702,1,74.1945626003388,4,198.754324986771,7,351.318199869753,0,1,0
