,행정동,center_lat,center_lon,주차장수,최소거리(m)
199,자양3동,37.52940919929795,127.07071204321883,0.0,0.0
200,자양3동,37.53031053603454,127.0707068774363,0.0,0.0
201,자양3동,37.5312118726326,127.0707017114236,0.0,0.0
202,자양3동,37.532113209092145,127.07069654518078,0.0,0.0
203,자양3동,37.53301454541319,127.07069137870782,0.0,0.0
204,자양3동,37.53391588159569,127.07068621200472,0.0,0.0
205,자양3동,37.53481721763968,127.07068104507148,0.0,0.0
206,자양3동,37.53571855354513,127.070675877908,0.0,0.0
207,자양3동,37.53661988931205,127.0706707105144,0.0,0.0
208,자양3동,37.53752122494046,127.07066554289058,0.0,0.0
209,자양3동,37.538422560430355,127.07066037503658,0.0,0.0
210,자양3동,37.53932389578169,127.07065520695234,0.0,0.0
211,화양동,37.540225230994515,127.0706500386379,0.0,0.0
212,화양동,37.5411265660688,127.0706448700932,0.0,0.0
213,화양동,37.542027901004566,127.07063970131826,0.0,0.0
214,화양동,37.542929235801786,127.07063453231304,0.0,0.0
215,화양동,37.54383057046047,127.07062936307756,0.0,0.0
216,화양동,37.54473190498062,127.07062419361182,0.0,0.0
217,화양동,37.54563323936224,127.07061902391578,0.0,0.0
218,화양동,37.546534573605314,127.07061385398944,1.0,21.0
219,화양동,37.54743590770983,127.0706086838328,0.0,0.0
220,군자동,37.54833724167583,127.0706035134458,0.0,0.0
221,군자동,37.549238575503274,127.07059834282848,0.0,0.0
222,군자동,37.5501399091922,127.07059317198082,0.0,0.0
223,군자동,37.55104124274256,127.07058800090282,0.0,0.0
224,군자동,37.55194257615437,127.07058282959444,0.0,0.0
225,군자동,37.55284390942765,127.07057765805568,0.0,0.0
226,군자동,37.55374524256237,127.07057248628654,0.0,0.0
227,자양3동,37.52400528369786,127.07187471243742,0.0,0.0
228,자양3동,37.52490662139847,127.0718695616496,0.0,0.0
229,자양3동,37.52580795896057,127.07186441063229,0.0,0.0
230,자양3동,37.52670929638414,127.07185925938556,0.0,0.0
231,자양3동,37.52761063366922,127.07185410790932,0.0,0.0
232,자양3동,37.528511970815806,127.07184895620364,0.0,0.0
233,자양3동,37.52941330782385,127.07184380426844,0.0,0.0
234,자양3동,37.53031464469339,127.07183865210378,0.0,0.0
235,자양3동,37.531215981424424,127.0718334997096,0.0,0.0
236,자양3동,37.53211731801692,127.07182834708588,0.0,0.0
237,자양3동,37.5330186544709,127.07182319423264,0.0,0.0
238,자양3동,37.53391999078637,127.07181804114984,0.0,0.0
239,자양3동,37.53482132696333,127.07181288783752,0.0,0.0
240,자양3동,37.53572266300176,127.0718077342956,0.0,0.0
241,자양3동,37.53662399890166,127.0718025805241,0.0,0.0
242,자양3동,37.53752533466304,127.07179742652306,0.0,0.0
243,자양3동,37.5384266702859,127.07179227229236,0.0,0.0
244,자양3동,37.53932800577024,127.0717871178321,0.0,0.0
245,화양동,37.540229341116046,127.0717819631422,0.0,0.0
246,화양동,37.54113067632332,127.07177680822268,0.0,0.0
247,화양동,37.54203201139207,127.07177165307353,0.0,0.0
248,화양동,37.54293334632228,127.0717664976947,0.0,0.0
249,화양동,37.54383468111397,127.07176134208622,0.0,0.0
250,화양동,37.54473601576712,127.07175618624808,0.0,0.0
251,화양동,37.54563735028174,127.07175103018022,1.0,61.0
252,화양동,37.54653868465781,127.0717458738827,1.0,33.0
253,화양동,37.547440018895365,127.07174071735544,0.0,0.0
254,군자동,37.54834135299438,127.07173556059853,0.0,0.0
255,군자동,37.54924268695484,127.07173040361184,0.0,0.0
256,군자동,37.55014402077677,127.0717252463954,0.0,0.0
257,군자동,37.551045354460165,127.07172008894923,0.0,0.0
258,군자동,37.55194668800501,127.07171493127332,0.0,0.0
259,군자동,37.55284802141131,127.07170977336762,0.0,0.0
260,군자동,37.55374935467907,127.07170461523216,0.0,0.0
261,군자동,37.55465068780829,127.07169945686688,0.0,0.0
262,군자동,37.55555202079895,127.0716942982718,0.0,0.0
263,자양2동,37.52400938058292,127.07300639202188,0.0,0.0
264,자양3동,37.52491071841611,127.0730012548483,0.0,0.0
265,자양3동,37.52581205611079,127.0729961174459,0.0,0.0
266,자양3동,37.52671339366696,127.07299097981462,0.0,0.0
267,자양3동,37.52761473108463,127.07298584195448,0.0,0.0
268,자양3동,37.52851606836381,127.0729807038655,0.0,0.0
269,자양3동,37.529417405504454,127.07297556554758,0.0,0.0
270,자양3동,37.53031874250659,127.0729704270008,0.0,0.0
271,자양3동,37.531220079370215,127.07296528822512,0.0,0.0
272,자양3동,37.532121416095315,127.07296014922052,0.0,0.0
273,자양3동,37.53302275268192,127.07295500998698,0.0,0.0
274,자양3동,37.53392408913,127.07294987052455,0.0,0.0
275,자양3동,37.53482542543958,127.07294473083311,0.0,0.0
276,자양3동,37.535726761610626,127.07293959091275,0.0,0.0
277,자양3동,37.53662809764315,127.07293445076344,0.0,0.0
278,자양3동,37.537529433537166,127.0729293103851,0.0,0.0
