법정동코드,주소,새주소-도로명,유무료,경도,위도,법정동명
10900,서울특별시 광진구 군자동 27-4 능동교회,능동로,무료,127.076916,37.553056,군자동
10900,서울특별시 광진구 군자동 1-11 비전빌딩,능동로,무료,127.077676,37.554448,군자동
10900,서울특별시 광진구 군자동 1-11 비전빌딩,능동로,무료,127.077621,37.554395,군자동
10900,서울특별시 광진구 군자동 1-11 비전빌딩,능동로,무료,127.077436,37.554826,군자동
10900,서울특별시 광진구 군자동 280,능동로21길,무료,127.074941,37.552432,군자동
10900,서울특별시 광진구 군자동 195-18,동일로56길,무료,127.072664,37.556371,군자동
10900,서울특별시 광진구 군자동 27-4 능동교회,능동로,무료,127.077156,37.553161,군자동
10900,서울특별시 광진구 군자동 27-4 능동교회,능동로,무료,127.076747,37.553067,군자동
10500,서울특별시 광진구 자양동 627-24 달성빌딩,자양로11길,무료,127.083745,37.53471,자양동
10500,서울특별시 광진구 자양동 578 자양4차우성아파트,자양번영로,유료,127.07625,37.535335,자양동
10500,서울특별시 광진구 자양동 609-1,뚝섬로43길,유료,127.091567,37.533725,자양동
10500,서울특별시 광진구 자양동 582-19,자양번영로3길,유료,127.082132,37.527702,자양동
10500,서울특별시 광진구 자양동 582-19,자양번영로3길,유료,127.082036,37.527698,자양동
10500,서울특별시 광진구 자양동 520-2 우성아파트,뚝섬로,유료,127.081966,37.527702,자양동
10500,서울특별시 광진구 자양동 520-2 우성아파트,뚝섬로,유료,127.081891,37.527711,자양동
10500,서울특별시 광진구 자양동 579 우성아파트,뚝섬로,유료,127.076014,37.534564,자양동
10500,서울특별시 광진구 자양동 579 우성아파트,뚝섬로,유료,127.075997,37.534541,자양동
10500,서울특별시 광진구 자양동 579 우성아파트,뚝섬로,유료,127.075872,37.534082,자양동
10300,서울특별시 광진구 구의동 596-5 광성빌딩,뚝섬로,유료,127.091611,37.534274,구의동
10500,서울특별시 광진구 자양동 611-2 대원캐슬3차,자양번영로,유료,127.0764,37.535393,자양동
10500,서울특별시 광진구 자양동 227-130,자양번영로11길,유료,127.076823,37.537198,자양동
10500,서울특별시 광진구 자양동 227-133,자양번영로,유료,127.076712,37.536854,자양동
10500,서울특별시 광진구 자양동 609-1,뚝섬로43길,유료,127.091565,37.533599,자양동
10500,서울특별시 광진구 자양동 653-26,뚝섬로57가길,유료,127.082013,37.532009,자양동
10500,서울특별시 광진구 자양동 609-1,뚝섬로43길,유료,127.091611,37.533351,자양동
10500,서울특별시 광진구 자양동 609-1,뚝섬로43길,유료,127.091619,37.533298,자양동
10500,서울특별시 광진구 자양동 460-8,뚝섬로38길,유료,127.081794,37.527719,자양동
10500,서울특별시 광진구 자양동 460-8,뚝섬로38길,유료,127.081714,37.527724,자양동
10500,서울특별시 광진구 자양동 582-19,자양번영로3길,유료,127.08165,37.527736,자양동
10500,서울특별시 광진구 자양동 787 삼성아파트,뚝섬로36가길,유료,127.081574,37.527736,자양동
10500,서울특별시 광진구 자양동 495-1,뚝섬로40길,유료,127.081489,37.527753,자양동
10500,서울특별시 광진구 자양동 495-6,뚝섬로40길,유료,127.081424,37.527753,자양동
10500,서울특별시 광진구 자양동 462-2,뚝섬로38길,유료,127.08276,37.527698,자양동
10500,서울특별시 광진구 자양동 580-5,자양번영로,유료,127.075852,37.533546,자양동
10500,서울특별시 광진구 자양동 580-5,자양번영로,유료,127.075795,37.533413,자양동
10500,서울특별시 광진구 자양동 609-1,뚝섬로43길,유료,127.091621,37.533195,자양동
10500,서울특별시 광진구 자양동 609-1,뚝섬로43길,유료,127.091628,37.533145,자양동
10500,서울특별시 광진구 자양동 609-1,뚝섬로43길,유료,127.091633,37.533075,자양동
10500,서울특별시 광진구 자양동 609-1,뚝섬로43길,유료,127.09163,37.532969,자양동
10500,서울특별시 광진구 자양동 609-1,뚝섬로43길,유료,127.091641,37.532939,자양동
10500,서울특별시 광진구 자양동 609-1,뚝섬로43길,유료,127.091627,37.532889,자양동
10500,서울특별시 광진구 자양동 609-1,뚝섬로43길,유료,127.091651,37.532851,자양동
10300,서울특별시 광진구 구의동 596-5 광성빌딩,뚝섬로,유료,127.091622,37.534201,구의동
10500,서울특별시 광진구 자양동 609-1,뚝섬로43길,유료,127.091642,37.532808,자양동
10500,서울특별시 광진구 자양동 609-1,뚝섬로43길,유료,127.091617,37.532683,자양동
10500,서울특별시 광진구 자양동 609-1,뚝섬로43길,유료,127.091676,37.532706,자양동
10500,서울특별시 광진구 자양동 582-2 송광아트빌라,자양번영로3길,유료,127.081344,37.527758,자양동
10500,서울특별시 광진구 자양동 794-9,자양번영로,유료,127.076931,37.537151,자양동
10500,서울특별시 광진구 자양동 794-8,자양번영로12길,유료,127.076953,37.537206,자양동
10500,서울특별시 광진구 자양동 794-2 자양교회,자양번영로,유료,127.076987,37.537365,자양동
10500,서울특별시 광진구 자양동 579 우성아파트,뚝섬로,유료,127.076043,37.534613,자양동
10500,서울특별시 광진구 자양동 227-40 Grace B/D,자양번영로,유료,127.076932,37.537522,자양동
10500,서울특별시 광진구 자양동 227-129,자양번영로11길,유료,127.07684,37.537235,자양동
10500,서울특별시 광진구 자양동 227-131,자양번영로,유료,127.076808,37.537143,자양동
10500,서울특별시 광진구 자양동 582-19,자양번영로3길,유료,127.081279,37.527749,자양동
10500,서울특별시 광진구 자양동 462-6,뚝섬로38길,유료,127.081199,37.527749,자양동
10500,서울특별시 광진구 자양동 520-2 우성아파트,뚝섬로,유료,127.081119,37.527749,자양동
10500,서울특별시 광진구 자양동 227-136,자양번영로,유료,127.076699,37.536769,자양동
10500,서울특별시 광진구 자양동 227-233,자양번영로,유료,127.076627,37.536591,자양동
10500,서울특별시 광진구 자양동 227-233,자양번영로,유료,127.076627,37.536591,자양동
10500,서울특별시 광진구 자양동 627-24 달성빌딩,자양로11길,무료,127.083955,37.534779,자양동
10500,서울특별시 광진구 자양동 794-9,자양번영로,유료,127.076928,37.537136,자양동
10500,서울특별시 광진구 자양동 794-2 자양교회,자양번영로,유료,127.077007,37.537419,자양동
10500,서울특별시 광진구 자양동 227-233,자양번영로,유료,127.076627,37.536591,자양동
10300,서울특별시 광진구 구의동 596-5 광성빌딩,뚝섬로,유료,127.091576,37.534129,구의동
10500,서울특별시 광진구 자양동 653-39,뚝섬로55길,무료,127.082312,37.531958,자양동
10500,서울특별시 광진구 자양동 803,자양번영로,유료,127.076618,37.536131,자양동
10500,서울특별시 광진구 자양동 804-1 지석빌딩,자양번영로,유료,127.076564,37.53594,자양동
10500,서울특별시 광진구 자양동 806-10,자양번영로,유료,127.076403,37.535433,자양동
10500,서울특별시 광진구 자양동 611-5,자양번영로,유료,127.076111,37.534458,자양동
10500,서울특별시 광진구 자양동 579 우성아파트,뚝섬로,유료,127.075963,37.533963,자양동
10500,서울특별시 광진구 자양동 227-262,자양번영로,유료,127.076445,37.535968,자양동
10500,서울특별시 광진구 자양동 227-262,자양번영로,유료,127.076445,37.535968,자양동
10500,서울특별시 광진구 자양동 227-262,자양번영로,유료,127.076445,37.535968,자양동
10500,서울특별시 광진구 자양동 227-283,자양번영로,유료,127.0763,37.535475,자양동
10500,서울특별시 광진구 자양동 578 자양우성4차아파트,자양번영로,유료,127.07625,37.535335,자양동
10500,서울특별시 광진구 자양동 578 자양우성4차아파트,자양번영로,유료,127.07625,37.535335,자양동
10500,서울특별시 광진구 자양동 578 자양우성4차아파트,자양번영로,유료,127.07625,37.535335,자양동
10500,서울특별시 광진구 자양동 227-324,자양번영로,유료,127.076266,37.535382,자양동
10500,서울특별시 광진구 자양동 520-2 우성아파트,뚝섬로,유료,127.081038,37.527762,자양동
10500,서울특별시 광진구 자양동 580-5,자양번영로,유료,127.075906,37.533764,자양동
10500,서울특별시 광진구 자양동 804,자양번영로,유료,127.076584,37.536034,자양동
10500,서울특별시 광진구 자양동 806,자양번영로,유료,127.076454,37.535566,자양동
10300,서울특별시 광진구 구의동 596-5 광성빌딩,뚝섬로,유료,127.091582,37.534102,구의동
10500,서울특별시 광진구 자양동 579 우성아파트,뚝섬로,유료,127.075872,37.534032,자양동
10500,서울특별시 광진구 자양동 586-1 현대맨션,자양번영로3길,유료,127.080984,37.527766,자양동
10500,서울특별시 광진구 자양동 586-1 현대맨션,자양번영로3길,유료,127.080915,37.527766,자양동
10500,서울특별시 광진구 자양동 579 우성아파트,뚝섬로,유료,127.075844,37.534014,자양동
10500,서울특별시 광진구 자양동 227-240,자양번영로,유료,127.07653,37.536233,자양동
10500,서울특별시 광진구 자양동 579 우성아파트,뚝섬로,유료,127.075963,37.534375,자양동
10500,서울특별시 광진구 자양동 586-16 정오연립,자양번영로3나길,유료,127.080845,37.527779,자양동
10500,서울특별시 광진구 자양동 227-128,자양번영로13길,유료,127.076858,37.537298,자양동
10500,서울특별시 광진구 자양동 227-40 Grace B/D,자양번영로,유료,127.076932,37.537522,자양동
10500,서울특별시 광진구 자양동 580-5,자양번영로,유료,127.075786,37.533711,자양동
10500,서울특별시 광진구 자양동 227-132,자양번영로11길,유료,127.076785,37.537083,자양동
10500,서울특별시 광진구 자양동 578 자양우성4차아파트,자양번영로,유료,127.07625,37.535335,자양동
10500,서울특별시 광진구 자양동 585-16 미주맨션,자양번영로3가길,유료,127.080781,37.527779,자양동
10500,서울특별시 광진구 자양2동 691-1,뚝섬로43길,유료,127.09175,37.531732,자양동
10500,서울특별시 광진구 자양동 806,자양번영로,유료,127.076428,37.535492,자양동
10300,서울특별시 광진구 구의동 596-5 광성빌딩,뚝섬로,유료,127.091566,37.533883,구의동
10500,서울특별시 광진구 자양동 579 우성아파트,뚝섬로,유료,127.075941,37.534348,자양동
10500,서울특별시 광진구 자양동 579 우성아파트,뚝섬로,유료,127.075963,37.534303,자양동
10500,서울특별시 광진구 자양동 579 우성아파트,뚝섬로,유료,127.075986,37.534445,자양동
10500,서울특별시 광진구 자양동 609-1,뚝섬로43길,유료,127.09175,37.53169,자양동
